id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude
12272860,JE116686,2021-01-18 21:15:00,035XX W 13TH PL,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1021,10.0,24.0,29.0,41.864098105,-87.713947792
12272813,JE116634,2021-01-18 21:08:00,028XX N CLYBOURN AVE,ASSAULT,SIMPLE,RESIDENCE,False,True,1931,19.0,1.0,5.0,41.933129385,-87.6792964
12272845,JE116619,2021-01-18 20:45:00,102XX S CALHOUN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,431,4.0,7.0,51.0,41.709413985,-87.562113993
12272838,JE116631,2021-01-18 20:35:00,052XX W HARRISON ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1522,15.0,29.0,25.0,41.872930051,-87.756274168
12272791,JE116609,2021-01-18 20:24:00,015XX S HOMAN AVE,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1021,10.0,24.0,29.0,41.859934878,-87.710361081
12272821,JE116602,2021-01-18 20:00:00,079XX S EAST END AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,414,4.0,8.0,46.0,41.751072904,-87.582881895
12275460,JE116592,2021-01-18 19:59:00,005XX E 107TH ST,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,True,513,5.0,9.0,49.0,41.700066089,-87.60967924
12272854,JE116604,2021-01-18 19:55:00,066XX S SPAULDING AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,831,8.0,15.0,66.0,41.771992124,-87.705391276
12304700,JE156324,2021-01-18 19:33:00,115XX S ADA ST,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,524,5.0,34.0,53.0,41.684170402,-87.655501787
12272942,JE116588,2021-01-18 19:06:00,068XX S PAXTON AVE,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,331,3.0,5.0,43.0,41.77113044,-87.571544262
12272741,JE116574,2021-01-18 19:00:00,026XX W LITHUANIAN PLAZA CT,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,831,8.0,17.0,66.0,41.768243533,-87.689056789
12272799,JE116571,2021-01-18 18:48:00,010XX W 77TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,612,6.0,17.0,71.0,41.754204588,-87.649334036
12272793,JE116567,2021-01-18 18:45:00,081XX S MAY ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,613,6.0,21.0,71.0,41.745915793,-87.652401206
12272805,JE116568,2021-01-18 18:45:00,061XX S RHODES AVE,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,313,3.0,20.0,42.0,41.783178859,-87.612089341
12272770,JE116569,2021-01-18 18:40:00,044XX N FRANCISCO AVE,ASSAULT,SIMPLE,APARTMENT,False,True,1724,17.0,33.0,14.0,41.961708065,-87.700925146
12272730,JE116555,2021-01-18 18:35:00,0000X E 101ST PL,ASSAULT,SIMPLE,RESIDENCE,False,True,511,5.0,9.0,49.0,41.70991675,-87.622193006
12272738,JE116543,2021-01-18 18:32:00,016XX N CENTRAL AVE,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2531,25.0,29.0,25.0,41.909845362,-87.765578192
11955616,JD120746,2020-01-18 21:30:00,084XX S EXCHANGE AVE,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,False,False,423,4.0,10.0,46.0,41.742158854,-87.552730314
11955828,JD120751,2020-01-18 21:27:00,011XX W 83RD ST,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,613,6.0,21.0,71.0,41.743226248,-87.652843687
11955655,JD120735,2020-01-18 21:20:00,081XX S KOMENSKY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,834,8.0,18.0,70.0,41.744492759,-87.72243472
11955670,JD120732,2020-01-18 21:05:00,079XX S RACINE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,612,6.0,17.0,71.0,41.750226733,-87.653729903
11955587,JD120722,2020-01-18 20:46:00,079XX S OGLESBY AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,414,4.0,7.0,46.0,41.750946308,-87.567440278
11955629,JD120723,2020-01-18 20:40:00,032XX W 26TH ST,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,CTA BUS,True,False,1024,10.0,12.0,30.0,41.844514992,-87.705343247
11955552,JD120705,2020-01-18 20:38:00,010XX W JACKSON BLVD,ASSAULT,SIMPLE,GAS STATION,False,False,1232,12.0,25.0,28.0,41.877858893,-87.652573925
11955711,JD120774,2020-01-18 20:35:00,003XX W 94TH PL,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,634,6.0,21.0,49.0,41.7230124,-87.632426267
11955584,JD120706,2020-01-18 20:30:00,018XX W NORTH AVE,ASSAULT,SIMPLE,RESTAURANT,False,False,1424,14.0,2.0,24.0,41.910552858,-87.673101379
11955664,JD120826,2020-01-18 20:30:00,039XX S ASHLAND AVE,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,False,False,924,9.0,12.0,61.0,41.82254499,-87.665557031
12086194,JD273551,2020-01-18 20:30:00,027XX S HARDING AVE,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",OTHER (SPECIFY),False,False,1031,10.0,22.0,30.0,41.841966137,-87.723270006
11955576,JD120720,2020-01-18 20:21:00,057XX N LOWELL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1711,17.0,39.0,13.0,41.985529732,-87.737195057
11955624,JD120696,2020-01-18 20:04:00,051XX W WEST END AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1532,15.0,28.0,25.0,41.883014079,-87.754420753
11956380,JD121606,2020-01-18 20:00:00,020XX W BALMORAL AVE,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,2012,20.0,40.0,4.0,41.979649551,-87.680799226
11955550,JD120681,2020-01-18 20:00:00,070XX S CLAREMONT AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,832,8.0,17.0,66.0,41.766027289,-87.681960407
11955591,JD120701,2020-01-18 19:49:00,083XX S CARPENTER ST,ASSAULT,SIMPLE,APARTMENT,False,False,613,6.0,21.0,71.0,41.74276136,-87.649884215
11955569,JD120677,2020-01-18 19:49:00,062XX S CARPENTER ST,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,True,True,712,7.0,16.0,68.0,41.780866465,-87.650891309
11955595,JD120708,2020-01-18 19:45:00,023XX W MADISON ST,ASSAULT,AGGRAVATED: HANDGUN,RESTAURANT,False,False,1223,12.0,27.0,28.0,41.881185703,-87.684956378
11955582,JD120663,2020-01-18 19:40:00,082XX S KEDZIE AVE,ASSAULT,SIMPLE,GAS STATION,True,False,834,8.0,18.0,70.0,41.743867618,-87.702228253
11956617,JD121868,2020-01-18 19:30:00,054XX N KENMORE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2023,20.0,48.0,77.0,41.980875696,-87.656538472
11955614,JD120662,2020-01-18 19:30:00,032XX N LECLAIRE AVE,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,1634,16.0,31.0,15.0,41.939898633,-87.754281422
11955543,JD120657,2020-01-18 19:08:00,087XX W SUMMERDALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1614,16.0,41.0,76.0,41.975990696,-87.844600174
11955517,JD120679,2020-01-18 19:07:00,050XX S CICERO AVE,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,True,False,814,8.0,22.0,56.0,41.801692642,-87.742991505
11955558,JD120626,2020-01-18 19:06:00,031XX N MILWAUKEE AVE,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),True,False,2523,25.0,30.0,21.0,41.938658971,-87.723157866
11955553,JD120640,2020-01-18 19:04:00,017XX N SPRINGFIELD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,POOL ROOM,False,True,2535,25.0,26.0,20.0,41.912359831,-87.723963176
11955549,JD120631,2020-01-18 18:40:00,065XX S FRANCISCO AVE,ASSAULT,SIMPLE,APARTMENT,False,True,831,8.0,17.0,66.0,41.774677643,-87.695715977
11571906,JC122863,2019-01-18 21:30:00,068XX S CAMPBELL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,832,8.0,17.0,66.0,41.769441055,-87.685818925
11571304,JC122146,2019-01-18 21:20:00,046XX S INDIANA AVE,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,True,False,215,2.0,3.0,38.0,41.810209459,-87.621235204
11571220,JC122117,2019-01-18 21:10:00,031XX N LAKEWOOD AVE,BATTERY,SIMPLE,ALLEY,False,False,1933,19.0,32.0,6.0,41.938343734,-87.661295992
11571223,JC122122,2019-01-18 20:47:00,060XX S KEDZIE AVE,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,823,8.0,16.0,66.0,41.783451628,-87.70326286
11571735,JC122110,2019-01-18 20:30:00,006XX E 62ND ST,ASSAULT,SIMPLE,APARTMENT,False,False,313,3.0,20.0,42.0,41.782175371,-87.609182059
11571188,JC122101,2019-01-18 20:30:00,065XX N CALIFORNIA AVE,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,False,2412,24.0,50.0,2.0,41.999988443,-87.699711114
11571150,JC122087,2019-01-18 20:10:00,006XX E GRAND AVE,ASSAULT,SIMPLE,OTHER,False,False,1834,18.0,42.0,8.0,41.891990384,-87.611461502
11571147,JC122066,2019-01-18 20:10:00,001XX E PERSHING RD,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,212,2.0,3.0,35.0,41.823761896,-87.622761725
11571185,JC122078,2019-01-18 20:04:00,051XX S HOYNE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,932,9.0,16.0,61.0,41.799690178,-87.676903212
11571716,JC122156,2019-01-18 20:00:00,095XX S NORMAL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2223,22.0,21.0,73.0,41.721038562,-87.63592392
11571249,JC122050,2019-01-18 19:55:00,063XX S DR MARTIN LUTHER KING JR DR,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA STATION,False,False,312,3.0,20.0,69.0,41.780110888,-87.615617777
11571206,JC122065,2019-01-18 19:50:00,008XX W MONTROSE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1914,19.0,46.0,3.0,41.961818665,-87.651680937
11571194,JC122052,2019-01-18 19:31:00,037XX S LAKE SHORE DR NB,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,212,2.0,4.0,36.0,41.828737615,-87.603561084
