latitude,longitude,primary_type,dist_to_stadium_km
41.886190872,-87.624527215,BATTERY,2.734450538053343
41.748381792,-87.634840172,BATTERY,12.756050449606377
41.749294673,-87.546787815,BATTERY,13.83739450503787
41.937580169,-87.766460598,BATTERY,14.956587250133131
41.904423517,-87.729681127,BATTERY,10.460442306329556
41.90083168,-87.768034663,BATTERY,13.240981970942194
41.753252075,-87.673220647,BATTERY,12.999042369180563
41.77845723,-87.693372444,BATTERY,11.282042394410077
41.761546495,-87.58182888,ASSAULT,11.570037582500936
41.931733636,-87.655816058,ASSAULT,8.371999392901824
41.901122152,-87.695161178,BATTERY,7.79921325677023
41.758346414,-87.561510075,BATTERY,12.431238765189212
41.940370659,-87.654122097,BATTERY,9.21699533915903
41.759011495,-87.564518539,BATTERY,12.272425756619127
41.858343863,-87.676013719,ASSAULT,4.931728384885386
41.961606203,-87.668327924,ASSAULT,11.839947926353098
41.673331635,-87.657599405,ASSAULT,21.284342813027855
41.752933783,-87.554062037,ASSAULT,13.222793179174158
41.752560727,-87.637448188,BATTERY,12.323031415840052
41.747617457,-87.664582442,BATTERY,13.355448133655793
41.695674774,-87.612236647,BATTERY,18.53157588789518
41.772179138,-87.628349977,BATTERY,10.067381657364905
41.884546689,-87.616947314,BATTERY,2.4738037035224485
41.69336365,-87.634381248,BATTERY,18.841995071502883
41.807161523,-87.719855368,BATTERY,10.518020927729259
41.682549627,-87.62208441,BATTERY,19.992316627128666
41.815671368,-87.626251774,BATTERY,5.244901937180684
41.753807493,-87.645336203,BATTERY,12.295076597016912
41.909778277,-87.734542545,BATTERY,11.092142255940553
41.774144592,-87.774654879,BATTERY,16.353182530540334
41.73609565,-87.604808666,BATTERY,14.067860233695182
41.920983178,-87.637693589,BATTERY,6.752694896489884
41.880270522,-87.737917367,BATTERY,10.233882312417752
41.803181616,-87.585432024,BATTERY,7.065702146365586
41.900052344,-87.621475761,BATTERY,4.216447238788328
41.827159155,-87.641619819,BATTERY,4.4192209853156195
41.87409759,-87.71079636,ASSAULT,7.901297633274478
41.758603804,-87.557350716,BATTERY,12.535838568898681
41.969397481,-87.704449091,ASSAULT,13.947537435650455
41.731909236,-87.550766157,BATTERY,15.494802438524115
41.781462605,-87.613230509,ASSAULT,8.993304773737004
41.742124465,-87.668083807,BATTERY,14.025272818521541
41.848917689,-87.710042229,BATTERY,7.872623405901341
41.763460759,-87.704008292,BATTERY,13.158502794335956
41.863273531,-87.614787592,BATTERY,0.19183201591850396
41.762302671,-87.599036246,BATTERY,11.215149626119334
41.872956403,-87.629152903,BATTERY,1.5707927920772689
41.951061226,-87.703048613,ASSAULT,12.185033792656963
41.93907706,-87.728527427,ASSAULT,12.591339502197759
41.870640163,-87.705814568,BATTERY,7.437364983690718
41.758536614,-87.586130225,BATTERY,11.812864071943572
41.893377219,-87.62173353,BATTERY,3.4806670182631243
41.815807797,-87.623011066,ASSAULT,5.196067191197287
41.885741029,-87.631711749,ASSAULT,2.8877060945047823
41.910350694,-87.685304235,BATTERY,7.797458477099988
41.870764127,-87.721670822,ASSAULT,8.743125884935912
41.778474249,-87.667869578,BATTERY,10.240155392777368
41.870764127,-87.721670822,BATTERY,8.743125884935912
41.756623356,-87.55303151,ASSAULT,12.881179190472734
41.893683403,-87.765350389,BATTERY,12.792273559829063
41.881441785,-87.667837814,ASSAULT,4.739089942415001
41.780557398,-87.592576809,ASSAULT,9.306579694356865
41.812901343,-87.702904627,BATTERY,9.009653772189187
41.962429287,-87.760975182,ASSAULT,16.324491014591572
41.876223222,-87.721817052,BATTERY,8.840675028768345
41.868067057,-87.63921847,BATTERY,1.9719103956891768
41.902160574,-87.764283459,BATTERY,12.997053214087712
41.749674412,-87.663421388,ASSAULT,13.108462922020959
41.764862546,-87.667870964,BATTERY,11.634949601143955
41.974262927,-87.684230156,ASSAULT,13.646052531657073
41.85800693,-87.652564262,BATTERY,3.0082269003280544
42.014034989,-87.679480071,BATTERY,17.653185414405442
41.93991842,-87.653288878,BATTERY,9.146590657610336
41.854417564,-87.718768967,ASSAULT,8.498427154291349
41.682186493,-87.648138748,BATTERY,20.19669507402417
41.736501254,-87.569645386,ASSAULT,14.521826632526496
41.788987036,-87.74147999,ASSAULT,13.166470451391609
41.894907524,-87.758768643,BATTERY,12.308224639813625
41.910360919,-87.72634446,ASSAULT,10.532944316335534
41.777309867,-87.640802922,BATTERY,9.659234755727834
41.976095027,-87.692350085,ASSAULT,14.116896579910762
41.796457388,-87.650073149,BATTERY,7.82613284352572
41.896190725,-87.712679136,BATTERY,8.794485049004992
41.875068299,-87.627620612,ASSAULT,1.6832874736475463
41.722573058,-87.567048361,BATTERY,16.07295004673824
41.66007011,-87.641313957,ASSAULT,22.57942290842917
41.998178729,-87.6613621,ASSAULT,15.554197160539616
41.885662978,-87.753471392,BATTERY,11.618469355882178
41.983649023,-87.658690176,ASSAULT,13.93342959186371
41.754427651,-87.579712984,ASSAULT,12.380400919097436
41.794906402,-87.659752752,ASSAULT,8.299532100784486
41.738473448,-87.604136927,BATTERY,13.808209908861132
41.953620328,-87.730408248,BATTERY,13.843918167732669
41.772296804,-87.620290973,BATTERY,10.01232219362533
41.814223686,-87.60667153,BATTERY,5.410013770097165
41.844112707,-87.628445336,ASSAULT,2.244142538317204
41.68050408,-87.6205914,BATTERY,20.217359766825254
41.779723151,-87.646463474,ASSAULT,9.507600732218783
41.79818917,-87.621621345,BATTERY,7.140450850151069
41.76057736,-87.587664286,BATTERY,11.564193437139576
41.885741029,-87.631711749,ASSAULT,2.8877060945047823
41.895877613,-87.706566627,BATTERY,8.324403554483512
41.961287044,-87.692796336,ASSAULT,12.680740078527379
41.750690464,-87.602741685,BATTERY,12.464223548153514
41.814341505,-87.604476539,BATTERY,5.428034601525371
41.935071411,-87.809086329,BATTERY,17.86104040310616
41.733934336,-87.603268671,ASSAULT,14.316969385579348
41.774918613,-87.680957595,BATTERY,11.079848504691734
41.895002822,-87.621454706,BATTERY,3.6576325664310927
41.86861786,-87.68364419,ASSAULT,5.587878775329751
41.97008868,-87.762690091,ASSAULT,17.016766029335468
41.870885174,-87.725344907,BATTERY,9.047059188774575
41.739499202,-87.71749891,BATTERY,16.008349066806975
41.909508212,-87.755206417,BATTERY,12.610332203906662
41.64703943,-87.614403759,ASSAULT,23.936641166493274
41.759687972,-87.579218945,BATTERY,11.825240295794599
