game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,bears_win
2005_08_CHI_DET,2005,REG,8,2005-10-30,Sunday,13:00,CHI,19,DET,13,Home,-6,32,1.0
2005_09_CHI_NO,2005,REG,9,2005-11-06,Sunday,16:05,CHI,20,NO,17,Home,-3,37,1.0
2005_10_SF_CHI,2005,REG,10,2005-11-13,Sunday,13:00,SF,9,CHI,17,Home,8,26,1.0
2005_11_CAR_CHI,2005,REG,11,2005-11-20,Sunday,13:00,CAR,3,CHI,13,Home,10,16,1.0
2005_12_CHI_TB,2005,REG,12,2005-11-27,Sunday,13:00,CHI,13,TB,10,Home,-3,23,1.0
2005_13_GB_CHI,2005,REG,13,2005-12-04,Sunday,13:00,GB,7,CHI,19,Home,12,26,1.0
2005_14_CHI_PIT,2005,REG,14,2005-12-11,Sunday,13:00,CHI,9,PIT,21,Home,12,30,0.0
2005_15_ATL_CHI,2005,REG,15,2005-12-18,Sunday,20:30,ATL,3,CHI,16,Home,13,19,1.0
2005_16_CHI_GB,2005,REG,16,2005-12-25,Sunday,17:00,CHI,24,GB,17,Home,-7,41,1.0
2005_17_CHI_MIN,2005,REG,17,2006-01-01,Sunday,16:15,CHI,10,MIN,34,Home,24,44,0.0
2005_19_CAR_CHI,2005,DIV,19,2006-01-15,Sunday,16:30,CAR,29,CHI,21,Home,-8,50,0.0
2006_01_CHI_GB,2006,REG,1,2006-09-10,Sunday,16:15,CHI,26,GB,0,Home,-26,26,1.0
2006_02_DET_CHI,2006,REG,2,2006-09-17,Sunday,13:00,DET,7,CHI,34,Home,27,41,1.0
2006_03_CHI_MIN,2006,REG,3,2006-09-24,Sunday,13:00,CHI,19,MIN,16,Home,-3,35,1.0
2006_04_SEA_CHI,2006,REG,4,2006-10-01,Sunday,20:15,SEA,6,CHI,37,Home,31,43,1.0
2006_05_BUF_CHI,2006,REG,5,2006-10-08,Sunday,13:00,BUF,7,CHI,40,Home,33,47,1.0
2006_06_CHI_ARI,2006,REG,6,2006-10-16,Monday,20:30,CHI,24,ARI,23,Home,-1,47,1.0
2006_08_SF_CHI,2006,REG,8,2006-10-29,Sunday,13:00,SF,10,CHI,41,Home,31,51,1.0
2006_09_MIA_CHI,2006,REG,9,2006-11-05,Sunday,13:00,MIA,31,CHI,13,Home,-18,44,0.0
2006_10_CHI_NYG,2006,REG,10,2006-11-12,Sunday,20:15,CHI,38,NYG,20,Home,-18,58,1.0
2006_11_CHI_NYJ,2006,REG,11,2006-11-19,Sunday,13:00,CHI,10,NYJ,0,Home,-10,10,1.0
2006_12_CHI_NE,2006,REG,12,2006-11-26,Sunday,16:15,CHI,13,NE,17,Home,4,30,0.0
2006_13_MIN_CHI,2006,REG,13,2006-12-03,Sunday,13:00,MIN,13,CHI,23,Home,10,36,1.0
2006_14_CHI_STL,2006,REG,14,2006-12-11,Monday,20:30,CHI,42,STL,27,Home,-15,69,1.0
2006_15_TB_CHI,2006,REG,15,2006-12-17,Sunday,13:00,TB,31,CHI,34,Home,3,65,1.0
2006_16_CHI_DET,2006,REG,16,2006-12-24,Sunday,13:00,CHI,26,DET,21,Home,-5,47,1.0
2006_17_GB_CHI,2006,REG,17,2006-12-31,Sunday,20:15,GB,26,CHI,7,Home,-19,33,0.0
2006_19_SEA_CHI,2006,DIV,19,2007-01-14,Sunday,13:00,SEA,24,CHI,27,Home,3,51,1.0
2006_20_NO_CHI,2006,CON,20,2007-01-21,Sunday,15:00,NO,14,CHI,39,Home,25,53,1.0
2006_21_IND_CHI,2006,SB,21,2007-02-04,Sunday,18:25,IND,29,CHI,17,Neutral,-12,46,0.0
2007_01_CHI_SD,2007,REG,1,2007-09-09,Sunday,16:15,CHI,3,SD,14,Home,11,17,0.0
2007_02_KC_CHI,2007,REG,2,2007-09-16,Sunday,16:15,KC,10,CHI,20,Home,10,30,1.0
2007_03_DAL_CHI,2007,REG,3,2007-09-23,Sunday,20:25,DAL,34,CHI,10,Home,-24,44,0.0
2007_04_CHI_DET,2007,REG,4,2007-09-30,Sunday,13:00,CHI,27,DET,37,Home,10,64,0.0
2007_05_CHI_GB,2007,REG,5,2007-10-07,Sunday,20:25,CHI,27,GB,20,Home,-7,47,1.0
2007_06_MIN_CHI,2007,REG,6,2007-10-14,Sunday,13:00,MIN,34,CHI,31,Home,-3,65,0.0
2007_07_CHI_PHI,2007,REG,7,2007-10-21,Sunday,16:15,CHI,19,PHI,16,Home,-3,35,1.0
2007_08_DET_CHI,2007,REG,8,2007-10-28,Sunday,13:00,DET,16,CHI,7,Home,-9,23,0.0
2007_10_CHI_OAK,2007,REG,10,2007-11-11,Sunday,16:15,CHI,17,OAK,6,Home,-11,23,1.0
2007_11_CHI_SEA,2007,REG,11,2007-11-18,Sunday,16:15,CHI,23,SEA,30,Home,7,53,0.0
2007_12_DEN_CHI,2007,REG,12,2007-11-25,Sunday,16:15,DEN,34,CHI,37,Home,3,71,1.0
2007_13_NYG_CHI,2007,REG,13,2007-12-02,Sunday,16:15,NYG,21,CHI,16,Home,-5,37,0.0
2007_14_CHI_WAS,2007,REG,14,2007-12-06,Thursday,20:15,CHI,16,WAS,24,Home,8,40,0.0
2007_15_CHI_MIN,2007,REG,15,2007-12-17,Monday,20:40,CHI,13,MIN,20,Home,7,33,0.0
2007_16_GB_CHI,2007,REG,16,2007-12-23,Sunday,13:00,GB,7,CHI,35,Home,28,42,1.0
2007_17_NO_CHI,2007,REG,17,2007-12-30,Sunday,13:00,NO,25,CHI,33,Home,8,58,1.0
2008_01_CHI_IND,2008,REG,1,2008-09-07,Sunday,20:15,CHI,29,IND,13,Home,-16,42,1.0
2008_02_CHI_CAR,2008,REG,2,2008-09-14,Sunday,13:00,CHI,17,CAR,20,Home,3,37,0.0
2008_03_TB_CHI,2008,REG,3,2008-09-21,Sunday,13:00,TB,27,CHI,24,Home,-3,51,0.0
2008_04_PHI_CHI,2008,REG,4,2008-09-28,Sunday,20:15,PHI,20,CHI,24,Home,4,44,1.0
2008_05_CHI_DET,2008,REG,5,2008-10-05,Sunday,13:00,CHI,34,DET,7,Home,-27,41,1.0
2008_06_CHI_ATL,2008,REG,6,2008-10-12,Sunday,13:00,CHI,20,ATL,22,Home,2,42,0.0
2008_07_MIN_CHI,2008,REG,7,2008-10-19,Sunday,13:00,MIN,41,CHI,48,Home,7,89,1.0
2008_09_DET_CHI,2008,REG,9,2008-11-02,Sunday,13:00,DET,23,CHI,27,Home,4,50,1.0
2008_10_TEN_CHI,2008,REG,10,2008-11-09,Sunday,13:00,TEN,21,CHI,14,Home,-7,35,0.0
2008_11_CHI_GB,2008,REG,11,2008-11-16,Sunday,13:00,CHI,3,GB,37,Home,34,40,0.0
2008_12_CHI_STL,2008,REG,12,2008-11-23,Sunday,13:00,CHI,27,STL,3,Home,-24,30,1.0
2008_13_CHI_MIN,2008,REG,13,2008-11-30,Sunday,20:15,CHI,14,MIN,34,Home,20,48,0.0
2008_14_JAX_CHI,2008,REG,14,2008-12-07,Sunday,13:00,JAX,10,CHI,23,Home,13,33,1.0
2008_15_NO_CHI,2008,REG,15,2008-12-11,Thursday,20:15,NO,24,CHI,27,Home,3,51,1.0
2008_16_GB_CHI,2008,REG,16,2008-12-22,Monday,20:30,GB,17,CHI,20,Home,3,37,1.0
2008_17_CHI_HOU,2008,REG,17,2008-12-28,Sunday,13:00,CHI,24,HOU,31,Home,7,55,0.0
2009_01_CHI_GB,2009,REG,1,2009-09-13,Sunday,20:20,CHI,15,GB,21,Home,6,36,0.0
2009_02_PIT_CHI,2009,REG,2,2009-09-20,Sunday,16:15,PIT,14,CHI,17,Home,3,31,1.0
2009_03_CHI_SEA,2009,REG,3,2009-09-27,Sunday,16:05,CHI,25,SEA,19,Home,-6,44,1.0
2009_04_DET_CHI,2009,REG,4,2009-10-04,Sunday,13:00,DET,24,CHI,48,Home,24,72,1.0
2009_06_CHI_ATL,2009,REG,6,2009-10-18,Sunday,20:20,CHI,14,ATL,21,Home,7,35,0.0
2009_07_CHI_CIN,2009,REG,7,2009-10-25,Sunday,16:15,CHI,10,CIN,45,Home,35,55,0.0
2009_08_CLE_CHI,2009,REG,8,2009-11-01,Sunday,13:00,CLE,6,CHI,30,Home,24,36,1.0
2009_09_ARI_CHI,2009,REG,9,2009-11-08,Sunday,13:00,ARI,41,CHI,21,Home,-20,62,0.0
2009_10_CHI_SF,2009,REG,10,2009-11-12,Thursday,20:20,CHI,6,SF,10,Home,4,16,0.0
2009_11_PHI_CHI,2009,REG,11,2009-11-22,Sunday,20:20,PHI,24,CHI,20,Home,-4,44,0.0
2009_12_CHI_MIN,2009,REG,12,2009-11-29,Sunday,16:15,CHI,10,MIN,36,Home,26,46,0.0
2009_13_STL_CHI,2009,REG,13,2009-12-06,Sunday,13:00,STL,9,CHI,17,Home,8,26,1.0
2009_14_GB_CHI,2009,REG,14,2009-12-13,Sunday,13:00,GB,21,CHI,14,Home,-7,35,0.0
