game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,bears_win
2017_15_CHI_DET,2017,REG,15,2017-12-16,Saturday,16:30,CHI,10,DET,20,10,30,0
2017_16_CLE_CHI,2017,REG,16,2017-12-24,Sunday,13:00,CLE,3,CHI,20,17,23,1
2017_17_CHI_MIN,2017,REG,17,2017-12-31,Sunday,13:00,CHI,10,MIN,23,13,33,0
2018_01_CHI_GB,2018,REG,1,2018-09-09,Sunday,20:20,CHI,23,GB,24,1,47,0
2018_02_SEA_CHI,2018,REG,2,2018-09-17,Monday,20:15,SEA,17,CHI,24,7,41,1
2018_03_CHI_ARI,2018,REG,3,2018-09-23,Sunday,16:25,CHI,16,ARI,14,-2,30,1
2018_04_TB_CHI,2018,REG,4,2018-09-30,Sunday,13:00,TB,10,CHI,48,38,58,1
2018_06_CHI_MIA,2018,REG,6,2018-10-14,Sunday,13:00,CHI,28,MIA,31,3,59,0
2018_07_NE_CHI,2018,REG,7,2018-10-21,Sunday,13:00,NE,38,CHI,31,-7,69,0
2018_08_NYJ_CHI,2018,REG,8,2018-10-28,Sunday,13:00,NYJ,10,CHI,24,14,34,1
2018_09_CHI_BUF,2018,REG,9,2018-11-04,Sunday,13:00,CHI,41,BUF,9,-32,50,1
2018_10_DET_CHI,2018,REG,10,2018-11-11,Sunday,13:00,DET,22,CHI,34,12,56,1
2018_11_MIN_CHI,2018,REG,11,2018-11-18,Sunday,20:20,MIN,20,CHI,25,5,45,1
2018_12_CHI_DET,2018,REG,12,2018-11-22,Thursday,12:30,CHI,23,DET,16,-7,39,1
2018_13_CHI_NYG,2018,REG,13,2018-12-02,Sunday,13:00,CHI,27,NYG,30,3,57,0
2018_14_LA_CHI,2018,REG,14,2018-12-09,Sunday,20:20,LA,6,CHI,15,9,21,1
2018_15_GB_CHI,2018,REG,15,2018-12-16,Sunday,13:00,GB,17,CHI,24,7,41,1
2018_16_CHI_SF,2018,REG,16,2018-12-23,Sunday,16:05,CHI,14,SF,9,-5,23,1
2018_17_CHI_MIN,2018,REG,17,2018-12-30,Sunday,16:25,CHI,24,MIN,10,-14,34,1
2018_18_PHI_CHI,2018,WC,18,2019-01-06,Sunday,16:40,PHI,16,CHI,15,-1,31,0
2019_01_GB_CHI,2019,REG,1,2019-09-05,Thursday,20:20,GB,10,CHI,3,-7,13,0
2019_02_CHI_DEN,2019,REG,2,2019-09-15,Sunday,16:25,CHI,16,DEN,14,-2,30,1
2019_03_CHI_WAS,2019,REG,3,2019-09-23,Monday,20:15,CHI,31,WAS,15,-16,46,1
2019_04_MIN_CHI,2019,REG,4,2019-09-29,Sunday,16:25,MIN,6,CHI,16,10,22,1
2019_05_CHI_OAK,2019,REG,5,2019-10-06,Sunday,13:00,CHI,21,OAK,24,3,45,0
2019_07_NO_CHI,2019,REG,7,2019-10-20,Sunday,16:25,NO,36,CHI,25,-11,61,0
2019_08_LAC_CHI,2019,REG,8,2019-10-27,Sunday,13:00,LAC,17,CHI,16,-1,33,0
2019_09_CHI_PHI,2019,REG,9,2019-11-03,Sunday,13:00,CHI,14,PHI,22,8,36,0
2019_10_DET_CHI,2019,REG,10,2019-11-10,Sunday,13:00,DET,13,CHI,20,7,33,1
2019_11_CHI_LA,2019,REG,11,2019-11-17,Sunday,20:20,CHI,7,LA,17,10,24,0
2019_12_NYG_CHI,2019,REG,12,2019-11-24,Sunday,13:00,NYG,14,CHI,19,5,33,1
2019_13_CHI_DET,2019,REG,13,2019-11-28,Thursday,12:30,CHI,24,DET,20,-4,44,1
